10
1000 2000
521 381 -967
411 609 -908
104 630 -911
949 950 -901
998 41 -950
141 414 -926
167 168 -975
891 892 -948
803 809 -930
295 296 -907
213 214 -920
783 76 -934
209 579 -959
223 224 -910
681 754 -973
953 419 -960
480 481 -931
29 30 -933
190 191 -921
858 859 -963
840 841 -918
895 146 -982
332 918 -999
399 400 -948
674 675 -979
487 488 -917
839 346 -949
571 47 -975
587 54 -956
447 663 -956
962 288 -993
594 59 -916
106 221 -976
804 805 -908
31 32 -988
792 793 -975
587 588 -973
996 997 -962
173 410 -908
180 355 -942
642 643 -938
455 456 -941
108 823 -987
786 733 -972
219 853 -988
692 693 -958
23 636 -915
341 126 -982
102 72 -911
724 725 -960
424 425 -984
524 525 -904
495 496 -974
703 704 -910
45 46 -906
959 960 -947
907 908 -956
14 499 -923
972 973 -953
442 238 -935
795 826 -933
302 303 -905
293 307 -979
255 256 -903
609 238 -998
325 891 -979
465 466 -907
396 200 -998
34 932 -949
499 932 -925
368 369 -978
211 212 -969
830 831 -941
370 231 -961
788 789 -1000
551 595 -955
565 566 -946
864 138 -923
366 367 -971
627 450 -943
861 862 -941
771 85 -926
371 319 -990
532 533 -930
914 518 -970
904 905 -905
998 135 -931
544 545 -918
272 568 -966
912 216 -967
709 710 -988
213 837 -995
682 108 -970
281 348 -930
917 875 -945
28 530 -952
373 98 -947
601 217 -962
626 627 -977
966 811 -964
324 325 -921
893 411 -972
125 126 -984
598 599 -939
776 738 -950
103 104 -944
765 766 -909
278 836 -969
454 598 -940
795 418 -943
2 515 -930
872 718 -912
380 381 -929
584 585 -923
269 270 -942
731 733 -955
328 163 -947
63 382 -923
702 76 -972
496 497 -904
652 653 -944
692 951 -998
984 985 -939
573 528 -904
313 314 -966
111 112 -992
520 521 -995
360 361 -961
256 584 -936
755 756 -957
624 625 -921
163 213 -998
695 696 -962
920 921 -945
845 136 -987
905 320 -998
682 683 -912
120 809 -938
468 355 -978
518 598 -951
59 60 -910
777 43 -982
712 713 -996
90 91 -917
470 757 -976
153 84 -956
359 360 -955
765 76 -918
814 124 -999
312 313 -954
472 473 -929
474 6 -928
987 606 -966
393 394 -949
889 890 -934
813 814 -945
644 645 -955
668 669 -903
182 183 -949
319 868 -955
428 921 -907
675 888 -926
174 175 -978
46 944 -927
936 25 -978
336 158 -909
254 255 -909
121 122 -932
267 268 -992
79 867 -996
86 87 -992
4 5 -962
983 984 -907
875 876 -934
577 629 -940
320 330 -930
757 758 -944
194 466 -986
780 291 -912
69 70 -948
394 424 -953
439 26 -991
564 495 -923
879 222 -966
514 791 -986
837 336 -976
617 618 -948
389 390 -926
705 706 -999
186 187 -913
397 398 -910
130 131 -1000
826 827 -934
812 813 -908
515 912 -912
790 229 -942
253 417 -965
454 290 -927
342 316 -967
28 267 -966
875 0 -967
878 879 -919
294 295 -939
806 807 -914
980 981 -974
46 200 -993
989 417 -980
437 858 -912
265 266 -952
795 796 -958
210 211 -986
100 461 -984
945 946 -970
536 537 -946
158 219 -920
423 424 -964
655 656 -936
775 776 -957
403 634 -935
282 685 -987
783 784 -1000
573 309 -982
589 590 -917
603 339 -933
580 581 -972
500 501 -955
176 177 -997
48 236 -981
59 387 -955
927 435 -930
63 64 -940
75 541 -982
422 423 -996
208 209 -940
408 542 -913
207 968 -968
495 817 -998
245 953 -996
26 27 -983
895 896 -957
398 794 -971
363 404 -968
436 876 -985
686 687 -926
408 409 -991
490 908 -954
679 680 -919
134 135 -1000
924 925 -971
769 774 -917
226 227 -951
305 306 -958
751 752 -937
801 802 -957
139 742 -926
859 553 -977
486 487 -960
690 227 -957
351 352 -909
747 67 -963
58 59 -951
846 847 -966
731 732 -966
735 200 -958
574 399 -923
658 659 -927
400 725 -911
461 636 -931
533 534 -969
17 534 -965
919 920 -968
129 130 -944
930 202 -927
720 670 -953
466 706 -903
485 808 -949
95 96 -934
881 885 -935
396 7 -918
663 34 -1000
203 190 -957
508 713 -926
774 322 -990
943 705 -945
36 37 -924
160 923 -939
45 823 -911
596 597 -952
791 792 -930
719 118 -962
528 529 -904
77 905 -991
728 729 -910
740 741 -990
120 121 -927
785 37 -969
370 726 -905
275 276 -983
725 726 -985
365 366 -912
262 263 -946
865 393 -942
736 737 -987
300 333 -995
936 937 -957
729 730 -960
495 251 -952
753 380 -988
838 839 -969
579 580 -959
112 809 -900
274 772 -974
867 868 -900
484 217 -992
248 249 -997
782 783 -910
590 591 -926
778 302 -918
855 856 -967
625 963 -925
493 494 -946
199 625 -934
342 343 -924
510 511 -921
517 147 -903
828 453 -904
304 516 -960
30 68 -951
618 619 -965
549 944 -981
941 517 -995
436 437 -947
211 645 -973
67 60 -986
929 930 -982
11 12 -975
240 241 -913
110 111 -988
286 872 -976
325 326 -963
520 812 -909
685 686 -963
843 844 -980
378 751 -962
263 264 -919
314 776 -938
419 420 -917
229 375 -982
0 1 -910
766 767 -934
603 604 -962
805 806 -961
291 167 -970
60 61 -992
669 666 -905
611 612 -906
622 488 -932
563 564 -917
687 215 -905
720 721 -966
105 106 -996
465 163 -956
905 123 -977
217 218 -932
901 902 -917
889 336 -984
951 952 -965
948 619 -993
681 205 -965
466 467 -930
848 849 -909
479 480 -993
100 84 -959
621 852 -997
547 548 -905
416 417 -955
974 390 -909
860 861 -963
163 970 -984
433 702 -997
458 459 -961
786 432 -928
769 414 -947
950 761 -901
913 76 -910
272 273 -978
769 770 -991
807 2 -966
746 747 -915
756 773 -941
564 266 -991
299 300 -993
17 856 -905
167 738 -959
713 714 -928
654 655 -903
175 176 -946
433 434 -906
30 7 -900
521 522 -990
750 751 -966
355 782 -929
910 304 -918
947 606 -993
625 626 -905
671 672 -934
624 337 -930
209 210 -959
150 151 -931
734 735 -956
649 650 -938
202 203 -920
197 198 -943
588 589 -992
630 352 -908
963 64 -934
907 829 -955
789 790 -954
698 699 -974
39 412 -913
638 639 -920
352 742 -927
641 642 -945
818 77 -900
25 743 -939
170 171 -945
58 263 -924
628 307 -906
317 548 -910
454 994 -928
836 837 -928
393 683 -976
822 823 -991
580 836 -934
440 663 -912
963 964 -990
914 14 -951
274 638 -989
341 737 -985
787 788 -948
423 940 -1000
45 594 -924
875 923 -945
52 11 -934
697 698 -943
886 162 -990
188 7 -964
165 949 -952
150 959 -928
829 748 -985
657 658 -919
514 297 -915
79 80 -968
53 243 -986
122 123 -935
608 460 -950
461 462 -970
386 285 -957
70 137 -926
560 61 -905
404 933 -926
287 71 -904
491 187 -996
404 405 -1000
578 579 -931
503 504 -953
282 708 -927
390 628 -985
347 348 -918
367 37 -1000
442 443 -989
582 583 -902
279 280 -962
201 574 -907
489 490 -993
562 578 -949
734 685 -970
690 832 -934
687 688 -960
323 324 -981
301 302 -950
809 627 -906
320 413 -925
329 784 -913
939 940 -965
252 253 -949
355 326 -975
401 402 -960
440 441 -944
743 417 -987
604 605 -907
435 436 -945
371 372 -918
602 603 -920
602 124 -971
89 90 -958
91 92 -943
630 631 -907
981 49 -957
839 840 -970
780 781 -929
613 614 -911
340 674 -908
640 641 -918
9 209 -995
355 356 -989
765 845 -959
394 395 -975
714 969 -1000
701 702 -982
460 380 -960
833 834 -922
124 244 -905
88 454 -925
605 541 -989
616 485 -935
253 601 -919
61 62 -980
546 547 -907
486 162 -913
939 572 -997
945 753 -918
650 651 -957
354 355 -960
224 47 -919
121 178 -958
433 698 -948
339 340 -900
991 992 -926
825 301 -944
76 77 -988
607 608 -936
387 388 -925
234 235 -954
446 783 -900
720 240 -954
827 56 -949
932 195 -904
96 378 -993
856 857 -965
886 887 -974
648 262 -948
502 503 -909
667 668 -959
56 705 -955
513 514 -994
323 276 -954
303 294 -966
249 431 -937
78 648 -943
916 215 -903
977 868 -957
48 49 -985
45 436 -947
985 364 -951
870 871 -928
771 772 -929
744 745 -947
900 954 -982
736 507 -979
836 717 -951
126 127 -977
549 550 -983
293 294 -926
927 928 -977
664 665 -910
44 338 -905
967 968 -929
141 264 -914
558 863 -909
45 708 -928
284 285 -942
677 820 -908
177 837 -949
20 21 -922
915 916 -944
719 720 -909
853 166 -1000
72 73 -956
332 118 -996
663 414 -903
545 546 -945
180 983 -998
703 758 -981
5 6 -962
817 818 -977
452 453 -924
660 661 -936
627 628 -911
214 215 -920
21 22 -907
749 917 -904
975 976 -916
561 562 -998
281 79 -942
138 349 -979
601 260 -975
630 614 -948
512 513 -969
810 811 -956
360 318 -958
329 330 -967
237 238 -908
742 743 -993
99 389 -952
680 681 -912
837 838 -924
396 753 -994
418 111 -947
19 20 -960
579 710 -999
678 610 -947
513 798 -908
691 566 -909
888 804 -991
99 100 -952
315 463 -903
824 825 -946
360 228 -934
500 85 -974
525 526 -948
845 849 -920
263 877 -953
913 363 -942
483 481 -986
633 104 -955
10 11 -900
317 318 -921
908 257 -943
862 863 -914
405 406 -994
266 267 -980
282 283 -930
55 356 -956
854 855 -922
508 509 -994
316 317 -975
403 141 -971
90 671 -972
874 875 -991
489 416 -969
851 852 -992
509 540 -965
905 723 -997
417 755 -961
629 630 -978
571 418 -985
36 870 -972
925 926 -925
300 301 -902
830 247 -933
327 11 -914
988 989 -961
811 812 -995
856 218 -918
522 326 -934
535 174 -929
455 599 -954
738 739 -936
421 41 -933
419 699 -965
505 719 -908
456 457 -917
945 829 -936
177 837 -999
171 96 -954
825 826 -925
953 954 -978
458 89 -977
876 877 -900
622 345 -965
263 105 -982
872 873 -914
619 309 -966
935 936 -984
871 690 -906
128 129 -940
802 803 -952
565 461 -975
430 431 -917
784 785 -985
367 368 -969
214 804 -953
962 493 -991
8 9 -992
118 119 -947
119 120 -929
266 213 -906
820 479 -998
568 569 -937
148 364 -940
501 502 -980
163 164 -921
108 499 -981
894 895 -926
343 344 -914
379 330 -927
392 393 -921
261 262 -991
625 89 -988
78 295 -963
773 588 -980
684 685 -944
341 990 -994
699 700 -942
793 794 -946
755 659 -909
656 657 -1000
173 353 -998
28 29 -983
941 993 -937
688 689 -946
619 620 -906
490 329 -991
196 197 -946
137 32 -903
700 701 -976
772 773 -940
641 743 -906
430 629 -961
204 239 -910
214 810 -980
310 667 -991
246 152 -934
946 947 -913
964 965 -910
977 978 -903
93 94 -971
327 189 -978
956 957 -940
740 75 -971
165 753 -948
792 738 -995
829 830 -929
224 225 -909
979 980 -980
681 682 -901
285 803 -917
181 182 -978
390 391 -982
758 759 -952
892 659 -904
173 174 -971
131 132 -900
312 515 -930
978 715 -981
50 821 -997
31 969 -922
985 986 -905
203 525 -975
932 103 -979
997 235 -906
509 510 -914
177 337 -939
214 788 -965
406 407 -923
910 911 -964
73 502 -960
590 555 -963
518 519 -935
536 163 -901
94 95 -974
534 177 -923
985 774 -942
340 341 -968
281 282 -940
790 620 -922
563 927 -915
816 817 -949
193 194 -907
534 535 -915
278 279 -953
849 850 -948
758 467 -915
984 89 -990
663 664 -959
517 798 -989
444 445 -972
976 153 -932
691 692 -901
224 349 -934
391 392 -907
41 42 -919
976 977 -950
715 716 -936
815 816 -901
899 625 -912
921 922 -986
932 933 -976
42 43 -978
962 963 -970
809 647 -904
517 518 -987
57 878 -940
571 572 -924
242 243 -901
499 367 -959
290 291 -911
66 67 -991
251 252 -928
344 561 -988
402 313 -987
35 34 -915
981 127 -977
754 755 -930
98 99 -936
62 63 -917
388 389 -921
517 548 -969
897 898 -956
612 613 -941
12 13 -959
470 471 -918
753 604 -981
377 378 -915
75 451 -954
586 941 -963
287 288 -982
50 793 -936
386 147 -994
109 110 -982
44 45 -937
917 384 -962
361 664 -951
352 353 -917
182 121 -925
163 400 -965
592 593 -916
519 520 -930
694 695 -921
584 222 -994
459 460 -975
828 829 -921
831 386 -994
236 237 -987
473 18 -966
352 277 -918
573 663 -997
748 195 -988
137 138 -922
468 62 -945
768 769 -927
623 661 -933
818 819 -992
825 308 -908
396 397 -964
568 98 -954
836 426 -901
877 878 -963
534 463 -1000
149 150 -913
863 539 -950
296 297 -984
539 540 -989
403 404 -954
148 149 -910
959 761 -991
454 455 -948
684 729 -949
837 832 -905
104 105 -993
38 39 -977
520 175 -903
473 474 -974
965 200 -995
91 421 -981
306 307 -985
670 671 -943
869 870 -993
391 597 -995
361 362 -934
900 901 -939
347 511 -900
835 836 -980
653 654 -943
548 113 -910
301 767 -955
814 815 -987
581 278 -932
247 248 -933
797 909 -999
779 780 -961
991 839 -992
337 783 -993
1 324 -910
883 884 -968
445 840 -934
776 950 -949
831 228 -944
912 913 -944
621 622 -990
308 309 -919
83 84 -964
231 617 -987
40 866 -962
190 223 -910
935 931 -927
354 191 -918
931 717 -952
14 15 -932
710 711 -981
707 708 -981
169 170 -981
143 144 -993
433 434 -983
236 965 -910
1 2 -993
215 216 -948
235 427 -981
940 941 -995
559 896 -972
510 673 -943
415 522 -941
967 419 -918
958 959 -936
48 606 -978
593 594 -987
336 337 -969
957 958 -928
676 677 -952
482 483 -942
556 557 -932
569 415 -999
926 416 -988
188 778 -902
408 342 -953
627 70 -922
866 867 -981
476 477 -912
569 696 -1000
56 18 -941
80 81 -914
84 98 -908
809 810 -921
327 74 -934
672 673 -970
585 586 -920
72 117 -978
716 968 -902
80 56 -916
943 944 -991
469 470 -928
24 25 -945
203 204 -903
573 653 -1000
245 304 -972
558 561 -990
863 535 -951
45 358 -984
283 284 -966
299 554 -962
147 148 -912
17 18 -920
785 786 -943
675 676 -960
728 834 -962
948 141 -943
717 718 -960
310 527 -929
343 510 -953
933 934 -923
551 552 -931
642 324 -994
381 382 -970
314 315 -937
437 438 -905
311 312 -930
550 947 -958
338 339 -938
971 214 -960
581 698 -969
238 236 -999
375 376 -934
345 977 -919
600 683 -938
972 803 -995
127 128 -927
796 797 -906
309 377 -913
183 637 -964
70 71 -974
997 998 -979
274 333 -958
2 3 -987
100 101 -989
974 379 -907
814 343 -966
97 223 -935
553 106 -936
711 712 -972
358 359 -943
301 448 -969
928 444 -985
882 809 -980
335 336 -926
159 160 -945
528 666 -967
372 650 -983
154 839 -968
699 682 -983
112 753 -978
558 342 -913
487 758 -907
124 125 -903
179 301 -963
60 458 -955
770 481 -994
360 479 -927
189 116 -930
171 172 -992
969 970 -908
790 446 -971
954 955 -972
200 516 -901
648 862 -940
308 871 -987
334 335 -922
75 672 -965
738 888 -915
955 249 -988
441 442 -913
949 709 -942
55 343 -948
516 517 -985
933 247 -978
776 777 -920
950 951 -949
445 446 -951
552 553 -918
46 33 -995
569 570 -971
485 486 -901
890 891 -981
808 436 -952
198 199 -921
398 399 -915
810 42 -961
924 200 -989
902 903 -961
920 976 -943
379 380 -954
101 862 -926
648 649 -909
470 508 -974
374 795 -948
917 918 -942
978 569 -974
16 17 -941
504 505 -953
309 793 -996
739 740 -925
471 472 -954
525 432 -991
429 430 -981
948 949 -937
668 401 -984
98 464 -927
718 331 -951
484 598 -946
289 290 -936
556 860 -942
232 233 -905
715 133 -952
399 975 -927
385 386 -959
363 426 -937
594 595 -973
990 991 -929
678 679 -974
201 202 -991
967 226 -927
435 502 -931
937 442 -963
43 44 -939
661 4 -902
67 440 -998
477 895 -945
561 905 -951
228 229 -975
238 239 -937
27 28 -908
97 98 -955
644 907 -949
15 16 -949
239 89 -920
85 86 -924
241 242 -938
95 818 -974
386 69 -925
639 747 -938
959 277 -919
57 58 -976
221 560 -929
923 51 -929
102 103 -907
170 86 -996
24 292 -938
405 434 -970
716 910 -1000
903 904 -931
18 906 -999
427 428 -944
239 240 -909
375 308 -950
173 0 -930
642 281 -930
665 656 -960
535 564 -909
413 255 -970
474 475 -907
378 379 -988
64 317 -954
987 516 -961
829 85 -948
622 623 -920
428 429 -989
858 240 -937
898 899 -975
402 656 -925
330 53 -910
733 734 -938
219 220 -984
628 113 -911
292 293 -980
464 465 -963
994 995 -934
868 869 -990
716 709 -931
178 179 -915
409 279 -924
490 491 -901
285 286 -948
287 279 -913
317 26 -922
251 25 -986
767 768 -998
624 230 -999
966 967 -909
671 596 -962
501 838 -963
899 900 -903
560 561 -944
974 975 -992
148 473 -971
892 893 -987
826 492 -985
960 961 -919
753 643 -939
372 606 -962
904 742 -943
892 222 -996
715 247 -982
128 55 -993
670 68 -990
821 822 -919
781 782 -956
183 184 -974
125 359 -941
178 587 -952
625 515 -951
609 610 -979
392 298 -935
884 885 -968
728 297 -965
571 92 -972
184 185 -991
955 956 -947
882 883 -925
253 488 -925
799 800 -932
914 915 -996
558 559 -933
51 52 -942
101 371 -961
690 12 -921
375 576 -985
181 675 -975
857 858 -998
446 329 -968
180 181 -914
605 606 -957
274 742 -927
36 566 -933
544 518 -926
337 338 -933
972 262 -952
834 835 -903
891 983 -915
245 451 -987
567 568 -958
559 560 -966
13 14 -934
127 540 -915
515 516 -992
179 180 -940
7 8 -966
39 40 -918
140 141 -992
601 602 -939
842 843 -955
530 531 -957
931 932 -984
430 356 -918
310 311 -917
258 259 -953
945 528 -938
40 863 -990
662 663 -960
632 487 -941
970 899 -903
333 334 -992
141 142 -970
941 942 -994
500 430 -990
463 11 -919
989 990 -952
370 1 -928
207 208 -941
529 530 -934
135 136 -989
259 894 -969
114 586 -949
987 988 -930
407 408 -950
596 256 -943
462 79 -956
677 838 -999
666 667 -983
331 332 -906
471 834 -917
289 392 -926
37 38 -940
229 230 -921
414 765 -959
911 912 -924
313 850 -995
676 190 -994
717 741 -905
216 217 -972
868 211 -931
581 241 -947
101 390 -998
575 625 -924
202 71 -957
981 982 -919
73 74 -922
823 824 -934
31 37 -961
41 391 -907
362 363 -1000
280 281 -977
639 640 -909
446 447 -952
208 721 -905
476 345 -986
154 155 -919
141 523 -953
928 715 -983
348 349 -917
364 365 -911
234 921 -968
768 439 -991
881 882 -990
468 151 -939
928 929 -949
608 62 -961
686 40 -959
574 575 -943
270 438 -954
906 907 -931
48 945 -906
185 186 -945
696 697 -916
449 364 -997
239 522 -946
581 582 -957
599 600 -942
442 456 -911
908 730 -935
450 451 -968
63 11 -950
165 166 -988
369 370 -990
108 109 -923
13 890 -923
139 140 -934
47 107 -910
597 598 -929
345 105 -944
775 30 -998
812 248 -937
642 315 -984
786 787 -908
460 461 -911
385 849 -900
759 760 -951
800 801 -950
56 57 -939
635 960 -936
369 790 -915
859 860 -956
449 64 -937
75 76 -983
368 183 -927
215 512 -971
1000 2000
263 763 -927
513 762 -956
370 369 -939
407 946 -958
189 188 -964
77 898 -940
460 459 -900
632 631 -963
269 337 -941
795 794 -940
741 740 -908
183 435 -959
402 401 -984
686 154 -939
103 102 -951
151 150 -981
8 7 -950
941 74 -955
565 564 -925
936 793 -906
440 40 -925
992 991 -943
274 545 -922
637 636 -940
378 377 -992
55 54 -965
300 299 -950
498 497 -914
996 439 -932
197 980 -927
923 168 -925
180 479 -980
646 971 -909
100 99 -966
331 330 -963
972 29 -991
37 532 -933
904 903 -967
641 196 -995
293 292 -928
907 713 -931
458 457 -916
117 116 -948
906 905 -957
542 209 -996
78 770 -995
209 208 -975
313 312 -973
322 407 -972
549 263 -989
470 532 -966
951 155 -937
49 242 -998
547 697 -944
673 887 -918
475 780 -974
844 940 -937
908 907 -958
528 527 -902
888 887 -917
641 640 -979
79 78 -998
985 984 -993
179 178 -900
605 604 -968
469 9 -985
665 327 -958
98 46 -998
980 979 -995
706 705 -938
905 904 -974
393 837 -907
637 622 -978
273 377 -980
920 371 -958
798 797 -953
958 957 -980
492 755 -993
538 235 -953
667 483 -965
912 615 -956
331 957 -917
670 669 -965
371 370 -935
734 557 -973
206 205 -930
261 867 -986
649 231 -912
686 685 -943
826 727 -967
726 725 -952
123 658 -900
879 878 -915
225 386 -949
136 135 -942
453 382 -994
943 301 -955
708 334 -942
831 715 -986
984 868 -933
386 776 -912
973 826 -911
157 31 -989
536 535 -998
293 181 -989
322 535 -964
684 7 -999
12 11 -979
872 871 -935
830 829 -995
120 801 -986
501 500 -947
746 509 -1000
707 779 -923
662 661 -990
98 97 -987
609 943 -974
432 431 -966
997 996 -905
817 420 -915
414 359 -957
820 819 -935
231 230 -916
549 548 -992
57 56 -912
350 349 -935
69 68 -990
612 611 -932
687 903 -966
942 941 -1000
776 407 -932
78 77 -977
653 176 -948
568 567 -961
689 688 -919
885 833 -998
952 951 -980
417 391 -926
148 147 -908
287 286 -991
881 439 -950
938 937 -995
973 972 -999
171 170 -910
760 759 -947
630 484 -920
837 836 -998
789 788 -969
11 606 -924
108 107 -942
619 981 -922
362 361 -984
31 30 -934
323 155 -952
504 503 -965
710 709 -923
971 970 -902
87 86 -952
506 505 -964
998 928 -971
66 65 -994
48 770 -974
851 842 -941
775 774 -934
862 558 -953
984 166 -912
442 495 -907
770 769 -948
205 978 -927
270 168 -912
280 279 -926
366 909 -931
856 855 -965
885 884 -959
40 625 -921
270 973 -948
223 222 -946
452 785 -931
23 22 -989
515 514 -967
692 340 -965
679 963 -925
547 546 -914
68 474 -903
952 674 -980
54 373 -954
748 747 -979
403 132 -971
94 93 -981
966 965 -919
399 361 -945
222 694 -916
597 680 -957
570 569 -972
592 186 -924
920 892 -922
142 141 -990
698 595 -951
996 400 -958
375 486 -909
388 387 -974
925 130 -951
941 244 -936
972 971 -964
46 968 -985
319 788 -915
182 181 -990
276 275 -982
144 143 -910
875 874 -956
152 815 -986
540 864 -973
208 207 -983
776 775 -980
523 311 -945
496 987 -940
944 8 -908
387 368 -927
755 754 -942
435 934 -918
217 216 -948
476 265 -913
257 522 -934
478 477 -937
880 441 -997
535 749 -924
897 896 -956
124 123 -986
804 803 -987
607 606 -955
372 371 -967
153 152 -928
992 901 -986
659 424 -963
5 4 -956
894 985 -909
633 442 -972
11 300 -977
6 5 -980
375 374 -923
175 174 -1000
318 317 -946
660 182 -955
153 556 -911
406 405 -972
889 294 -974
69 636 -973
563 966 -974
701 700 -951
886 885 -946
148 191 -917
702 340 -990
650 61 -945
848 847 -912
86 85 -988
207 784 -955
522 341 -977
821 907 -952
915 914 -939
216 215 -948
89 463 -952
48 940 -954
592 542 -906
165 458 -957
352 75 -990
203 202 -978
326 325 -946
867 782 -956
866 865 -954
667 666 -916
2 343 -952
28 27 -972
322 447 -986
584 2 -926
589 588 -914
32 772 -900
181 636 -911
642 809 -933
102 825 -939
811 810 -979
137 70 -921
103 934 -912
954 953 -902
392 391 -913
425 559 -911
854 190 -983
990 989 -904
52 163 -945
666 760 -931
368 367 -961
932 931 -1000
302 706 -910
992 57 -905
864 863 -914
68 67 -918
245 244 -974
715 187 -977
834 851 -952
44 685 -921
73 230 -980
457 456 -962
248 50 -934
360 984 -939
712 711 -985
337 147 -901
336 50 -927
611 610 -927
347 968 -911
51 337 -977
274 273 -975
892 705 -944
52 51 -917
218 156 -919
857 896 -930
456 336 -997
135 134 -915
452 840 -942
102 890 -995
98 393 -970
947 946 -905
44 5 -966
767 370 -994
954 338 -967
207 33 -915
725 724 -920
382 381 -918
811 353 -995
235 234 -909
306 305 -959
165 164 -905
809 808 -967
150 149 -990
554 553 -953
753 717 -962
336 954 -995
400 399 -991
30 372 -993
840 839 -950
818 55 -946
486 485 -935
790 888 -977
321 85 -937
638 637 -945
357 299 -928
758 632 -939
691 355 -927
996 995 -925
248 83 -911
384 711 -969
757 756 -932
307 96 -905
642 54 -919
907 531 -919
411 857 -982
380 379 -963
113 407 -926
524 840 -903
752 751 -904
51 598 -978
12 117 -930
220 635 -910
275 274 -961
150 552 -920
773 772 -966
9 15 -981
133 559 -984
563 562 -973
80 79 -948
920 439 -908
957 460 -947
852 80 -952
106 105 -964
177 176 -995
364 969 -907
916 915 -960
265 481 -924
347 548 -947
79 397 -941
91 90 -942
341 340 -909
390 721 -948
874 873 -943
286 649 -928
396 395 -961
398 911 -920
331 737 -967
930 929 -929
466 465 -940
555 953 -948
965 518 -996
131 826 -910
28 156 -947
112 714 -989
139 138 -957
706 822 -955
18 419 -922
102 101 -950
989 988 -954
913 912 -989
500 417 -903
77 76 -975
995 994 -962
245 376 -948
579 578 -945
658 657 -904
459 68 -948
169 806 -948
790 789 -932
311 458 -983
979 978 -983
521 520 -937
948 947 -957
931 652 -997
397 396 -927
137 136 -987
247 246 -906
516 515 -967
670 545 -968
989 2 -995
170 169 -969
455 454 -977
96 95 -960
935 934 -971
190 189 -994
688 687 -938
101 571 -976
410 409 -997
922 921 -967
873 872 -988
523 370 -939
747 746 -962
575 574 -912
883 816 -972
133 132 -974
961 960 -930
700 873 -998
158 157 -973
242 622 -902
414 127 -988
430 768 -944
408 407 -995
330 329 -921
796 795 -976
299 298 -998
704 703 -965
200 644 -918
628 627 -935
578 884 -936
505 504 -918
354 965 -934
451 450 -987
201 240 -989
732 731 -905
805 804 -937
220 219 -982
464 978 -902
319 72 -991
26 25 -936
290 289 -963
119 632 -986
265 264 -991
246 245 -976
502 406 -906
610 609 -928
195 754 -904
360 224 -929
600 599 -971
857 856 -963
676 675 -919
294 39 -995
540 858 -934
118 117 -921
327 965 -919
899 898 -969
167 551 -941
174 194 -916
629 628 -900
201 346 -986
112 265 -991
327 326 -950
551 195 -991
896 895 -948
578 577 -942
557 556 -910
366 604 -958
840 497 -925
954 179 -956
38 767 -966
370 679 -948
574 573 -951
645 974 -962
814 990 -917
255 254 -914
456 901 -909
243 920 -933
346 345 -973
278 61 -961
878 362 -925
602 601 -1000
783 381 -977
532 531 -968
540 539 -974
572 493 -964
803 370 -900
860 859 -957
693 421 -968
936 279 -904
581 262 -901
316 315 -936
643 642 -900
756 308 -914
806 805 -945
111 53 -960
735 734 -925
97 800 -981
546 545 -922
702 701 -969
64 648 -937
812 811 -984
795 754 -967
764 891 -939
472 471 -969
561 189 -993
90 89 -929
909 866 -941
242 241 -934
354 222 -976
93 56 -964
604 603 -948
295 294 -921
82 681 -925
929 928 -910
202 201 -940
387 386 -950
427 426 -928
425 424 -963
609 344 -926
774 990 -901
624 623 -924
616 615 -991
71 70 -902
538 537 -954
933 932 -930
377 376 -965
648 647 -910
921 920 -924
144 713 -994
445 669 -949
491 490 -911
192 144 -996
154 153 -972
416 38 -965
758 36 -944
827 826 -922
178 177 -1000
514 513 -916
32 31 -954
431 430 -995
597 596 -951
667 242 -988
786 689 -967
89 88 -949
343 342 -980
582 457 -981
375 468 -952
997 143 -955
467 466 -932
694 693 -924
852 119 -931
9 8 -975
808 807 -911
470 216 -923
709 708 -916
479 795 -952
773 811 -983
159 158 -959
15 14 -970
256 255 -944
541 540 -973
320 319 -969
74 73 -953
358 859 -949
941 321 -983
266 265 -973
992 110 -910
390 710 -907
833 56 -923
283 213 -991
39 38 -979
119 967 -975
984 264 -967
117 963 -992
27 31 -918
104 793 -979
99 540 -919
156 155 -999
843 842 -943
780 689 -933
981 980 -962
986 985 -952
624 339 -941
729 154 -977
732 207 -1000
160 159 -939
155 154 -968
464 963 -906
573 572 -951
791 790 -986
157 156 -935
874 555 -936
288 699 -980
215 214 -937
642 641 -960
804 656 -902
54 53 -990
876 875 -905
631 630 -952
414 413 -940
871 74 -988
476 475 -969
909 601 -924
369 368 -986
756 755 -999
822 234 -936
727 411 -990
317 316 -930
517 516 -909
132 131 -988
567 566 -986
841 840 -925
971 556 -912
256 434 -980
170 987 -977
719 718 -989
753 752 -934
444 443 -976
797 265 -908
479 478 -988
128 127 -931
477 476 -924
501 877 -972
671 673 -932
393 392 -955
601 600 -933
852 926 -972
103 847 -949
660 659 -907
903 902 -957
690 689 -963
462 116 -907
627 626 -964
222 221 -933
564 918 -992
558 194 -965
738 737 -918
539 538 -902
15 215 -936
603 602 -901
265 271 -909
531 601 -921
13 633 -995
406 202 -996
987 986 -915
238 237 -908
526 369 -903
218 217 -994
418 417 -960
768 762 -923
233 232 -950
836 822 -987
715 293 -932
111 110 -971
192 191 -965
675 194 -900
975 974 -934
637 218 -936
798 512 -917
27 26 -916
681 680 -919
33 834 -980
200 199 -946
90 871 -992
511 510 -964
470 971 -938
439 438 -989
280 5 -921
324 323 -947
723 169 -949
254 253 -946
